coord_id,w2v_sentence
1384057095701710721,상의_navy_cotton_셔츠/블라우스_남성_여름_minimal 하의_navy_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_beige_leather_샌들/슬리퍼_남성_여름_minimal
1384053748420528098,상의_green_cotton_니트/스웨터_남성_여름_minimal 하의_beige_cotton_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1384052680296304982,상의_beige_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1382635428896091191,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1382729723322175012,상의_gray_cotton_반소매 티셔츠_남성_여름_minimal 상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_gray_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_blue_leather_스니커즈_남성_여름_minimal
1382722888371122704,상의_gray_cotton_반소매 티셔츠_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1382730750345802084,상의_white_cotton_니트/스웨터_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1382723608700925026,상의_navy_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_gray_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1382721267006977980,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_green_cotton_기타 하의_남성_여름_minimal 신발_red_leather_샌들/슬리퍼_남성_여름_minimal 상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_green_cotton_기타 하의_남성_여름_minimal 신발_red_leather_샌들/슬리퍼_남성_여름_minimal
1382725562107036968,상의_navy_cotton_셔츠/블라우스_남성_여름_minimal 상의_beige_cotton_반소매 티셔츠_남성_여름_minimal 하의_black_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal 상의_navy_cotton_셔츠/블라우스_남성_여름_minimal 상의_beige_cotton_반소매 티셔츠_남성_여름_minimal 하의_black_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
